Borough,Site Location,Latitude,Longitude,Location Point,DSNY District,DSNY Zone,BinType
Brooklyn,"6753 4th Avenue, Brooklyn, NY 11220",40.635514,-74.022767,POINT (-74.022767 40.635514),BKS10,BKS,FoodScrap
Manhattan,E 47th St & 2nd Ave,40.752606,-73.969036,POINT (-73.969036 40.752606),MN06,MN,FoodScrap
Manhattan,Pier 84 at W. 44th St. near dog park,40.76346,-74.00025,POINT (-74.00025 40.76346),MN04,MN,FoodScrap
Manhattan,127 East 58th Street,40.76198,-73.9693,POINT (-73.9693 40.76198),MN05,MN,FoodScrap
Manhattan,Greenwich St. & Duane St,40.717424,-74.010793,POINT (-74.010793 40.717424),MN01,MN,FoodScrap
Staten Island,St. Marks Pl and Hyatt St,40.641967,-74.077928,POINT (-74.077928 40.641967),SI01,SI,FoodScrap
Manhattan,"521 W 126th St, New York, NY 10027",40.8149687,-73.9560903,POINT (-73.9560903 40.8149687),MN09,MN,FoodScrap
Brooklyn,"1107 Bergen Street, Brooklyn, NY 11216",40.67629,-73.94925,POINT (-73.94925 40.67629),BKN08,BKN,FoodScrap
Brooklyn,"Prospect Park, West of the entrance on Parkside Av (& Ocean Av)",40.654917,-73.962083,POINT (-73.962083 40.654917),,BKS,FoodScrap
Brooklyn,"1309 Dekalb Ave, Brooklyn, NY 11221 (Know Waste Lands Community Garden)",40.697694,-73.925806,POINT (-73.925806 40.697694),BKN04,BKN,FoodScrap
Brooklyn,Washington Park and Myrtle Ave,40.69288,-73.97391,POINT (-73.97391 40.69288),BKN02,BKN,FoodScrap
Manhattan,,40.85571567,-73.92743781,POINT (-73.92743781 40.85571567),MN12,MN,FoodScrap
Bronx,,40.81994461,-73.92850801,POINT (-73.92850801 40.81994461),BX04,BX,FoodScrap
Bronx,,40.87534011,-73.87542714,POINT (-73.87542714 40.87534011),BX07,BX,FoodScrap
Brooklyn,,40.69656438,-73.91427923,POINT (-73.91427923 40.69656438),BKN04,BKN,FoodScrap
Manhattan,,40.71878668,-74.01055042,POINT (-74.01055042 40.71878668),MN01,MN,FoodScrap
Manhattan,,40.7248741,-74.00472,POINT (-74.00472 40.7248741),MN02,MN,FoodScrap
Manhattan,,40.76044172,-73.99506115,POINT (-73.99506115 40.76044172),MN04,MN,FoodScrap
Brooklyn,,40.68065837,-73.93454969,POINT (-73.93454969 40.68065837),BKN03,BKN,FoodScrap
Brooklyn,,40.6870313,-73.91374111,POINT (-73.91374111 40.6870313),BKN04,BKN,FoodScrap
Manhattan,,40.74272368,-73.99655276,POINT (-73.99655276 40.74272368),MN04,MN,FoodScrap
Staten Island,460w Brielle Avenue,40.592723,-74.135113,POINT (-74.135113 40.592723),SI02,SI,FoodScrap
Queens,,40.75290526,-73.94352235,POINT (-73.94352235 40.75290526),QW01,QW,FoodScrap
