DSNY Zone,DSNY District,Site Location,BinType
BKN,BKN02,120 SCHERMERHORN ST - INSIDE BUILDING,Recycle
BKN,BKN02,141 LIVINGSTON ST - INSIDE BUILDING,Recycle
BKN,BKN02,345 ADAMS ST - INSIDE BUILDING,Recycle
BKN,BKN02,360 ADAMS ST - INSIDE BUILDING,Recycle
BKN,BKN02,6TH AVE & ATLANTIC AVE,Recycle
BKN,BKN02,6TH AVE & DEAN ST,Recycle
BKN,BKN02,727 FULTON ST @ NE CORNER OF S ELLIOTT PL,Recycle
BKN,BKN02,ARCHWAY ON ADAMS ST SIDE,Recycle
BKN,BKN02,BROOKLYN BRIDGE PARK - PIER 1,Recycle
BKN,BKN02,BROOKLYN BRIDGE PARK - PIER 1,Recycle
BKN,BKN02,FRONT ST & JAY ST,Recycle
BKN,BKN02,FULTON ST & CLINTON AVE,Recycle
BKN,BKN02,FULTON ST & LAFAYETTE/GREENE/S OXFORD,Recycle
BKN,BKN02,LAFAYETTE & FULTON ST,Recycle
BKN,BKN02,LAFAYETTE AVE BET WAVERLY AVE & WASHINGTON AVE,Recycle
BKN,BKN02,MYRTLE AVE & ADELPHI ST,Recycle
BKN,BKN02,MYRTLE AVE & ASHL& PL,Recycle
BKN,BKN02,MYRTLE AVE & CLINTON AVE,Recycle
BKN,BKN02,N/E MONTAGUE ST & CLINTON  ST,Recycle
BKN,BKN02,N/E MONTAGUE ST & COURT ST,Recycle
BKN,BKN02,N/E MONTAGUE ST & HENRY ST,Recycle
BKN,BKN02,N/E MYRTLE AVE & GRAND ST,Recycle
BKN,BKN02,N/W MONTAGUE ST & CLINTON ST,Recycle
BKN,BKN02,N/W MONTAGUE ST & COURT ST,Recycle
BKN,BKN02,N/W MONTAGUE ST & HICKS ST,Recycle
BKN,BKN02,OLD FULTON PLAZA,Recycle
BKN,BKN02,PEARL ST TRIANGLE,Recycle
BKN,BKN02,PEARL ST TRIANGLE,Recycle
BKN,BKN02,S/E MONTAGUE ST & HICKS ST,Recycle
BKN,BKN02,S/E MYRTLE AVE & HALL ST,Recycle
BKN,BKN02,S/E MYRTLE AVE & STEUBEN ST,Recycle
BKN,BKN02,S/W MONTAGUE ST & HENRY  ST,Recycle
BKN,BKN02,WASHINGTON PARK & DEKALB AVENUE,Recycle
BKN,BKN02,WATER ST BET ADAMS ST & ANCHORAGE PL,Recycle
BKN,BKN02,210 JORALEMON ST - INSIDE BUILDING,Recycle
BKN,BKN02,BROOKLYN BRIDGE PARK - PIER 6,Recycle
BKN,BKN02,FULTON ST & WASHINGTON AVE,Recycle
BKN,BKN02,PUTNAM TRIANGLE,Recycle
BKN,BKN02,S/W MYRTLE AVE & EMERSON PL,Recycle
BKN,BKN08,1251 PROSPECT PLACE,Recycle
BKN,BKN09,990 WASHINGTON AVE - BBG,Recycle
BKN,BKN09,450 FLATBUSH AVE - PROSPECT PARK ZOO,Recycle
BKS,BKS18,FLOYD BENNETT FIELD TRAINING CENTER,Recycle
BX,BX02,765 MANIDA ST - HUNTS POINT RECREATION CENTER,Recycle
BX,BX02,812 EDGEWATER RD - HUNTS POINT RIVERSIDE PARK,Recycle
BX,BX04,161-164 WALTON AVE - JOYCE KILMER PARK,Recycle
BX,BX06,2300 SOUTHERN BLVD - BRONX ZOO MAIN ENTRANCE,Recycle
BX,BX06,2900 SOUTHERN BLVD - VISITORS SERVICE CENTER,Recycle
BX,BX06,BRONX ZOO,Recycle
BX,BX06,BRONX ZOO,Recycle
BX,BX06,BRONX ZOO,Recycle
BX,BX08,5521 MOSHOLU AVE,Recycle
BX,BX08,6301 RIVERDALE AVE - FRONT ENTRANCE,Recycle
BX,BX08,BROADWAY & MANHATTAN COLLEGE PKWY - VAN CORTLANDT PARK,Recycle
BX,BX08,6301 RIVERDALE AVE - CAMPUS WIDE,Recycle
BX,BX10,2551 WESTCHESTER AVE - OWEN DOLEN RECREATION CENTER,Recycle
BX,BX10,ORCHARD BEACH ROAD - BASKETBALL COURT AREA,Recycle
BX,BX10,ORCHARD BEACH ROAD - ORCHARD BEACH BOATHOUSE,Recycle
BX,BX10,ORCHARD BEACH ROAD - PELHAM PLAYGROUND,Recycle
MAN,M01,N/E LAFAYETTE ST & WORTH ST - NYC DEPARTMENT OF SANITATION HQ,Recycle
